contentTypeId,name,rootProductCategory,pricingStrategy,description
1,Delivery,1Vans,JOURNEY_DISTANCE,Schedule deliveries in an instant
2,Rubbish Collection,1Rubbish,FIXED,Get rid of site rubbish now. Track that driver !!
3,Hire,1Plant,DURATION, Get that tool you need quick as you like
5,Trades People,1Workers,DURATION,Need a plumber? Ground worker? Labourer? Electrician? Get one now ... and yes track his progress !!
6,Products,1Products,FIXED,Need sundires for the site?? Order here track in realtime
