contentTypeId,name,doubleComplete,origin,destination,noPeople,fromTime,tillTime,noItems,rootProductCategory,pricingStrategy,description
1,Delivery,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1Vans,JOURNEY_DISTANCE,Schedule deliveries in an instant
2,Rubbish Collection,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1Rubbish,FIXED,Get rid of site rubbish now. Track that driver !!
5,Trades People,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1Workers,JOB_DURATION,Need a plumber? Ground worker? Labourer? Electrician? Get one now ... and yes track his progress !!
